model,accuracy,precision,recall,f1,auc_roc,inference_time_ms_per_claim
svm,0.5853869433635971,0.12235510579576817,0.9637681159420289,0.21714285714285714,0.7717541229385307,0.04901696930630453
random_forest,0.5961954172070904,0.12310606060606061,0.9420289855072463,0.21775544388609716,0.7970747959353657,0.013416726759560155
xgboost,0.6212710765239948,0.12651821862348178,0.9057971014492754,0.22202486678507993,0.8178460769615192,0.0008752402273173298
weighted_ensemble,0.6039775183744055,0.12451737451737452,0.9347826086956522,0.21976149914821125,0.8120006663334999,0.06549743609019736
